,Confirmed
1/22/20,1
1/23/20,1
1/24/20,2
1/25/20,2
1/26/20,5
1/27/20,5
1/28/20,5
1/29/20,5
1/30/20,5
1/31/20,7
2/1/20,8
2/2/20,8
2/3/20,11
2/4/20,11
2/5/20,11
2/6/20,11
2/7/20,11
2/8/20,11
2/9/20,11
2/10/20,11
2/11/20,12
2/12/20,12
2/13/20,13
2/14/20,13
2/15/20,13
2/16/20,13
2/17/20,13
2/18/20,13
2/19/20,13
2/20/20,13
2/21/20,15
2/22/20,15
2/23/20,15
2/24/20,15
2/25/20,15
2/26/20,15
2/27/20,16
2/28/20,16
2/29/20,24
3/1/20,30
3/2/20,53
3/3/20,73
3/4/20,104
3/5/20,172
3/6/20,217
3/7/20,336
3/8/20,450
3/9/20,514
3/10/20,708
3/11/20,1105
3/12/20,1557
3/13/20,2147
3/14/20,2857
3/15/20,2918
3/16/20,4307
3/17/20,6096
3/18/20,8873
3/19/20,14094
3/20/20,19403
3/21/20,25725
3/22/20,33634
3/23/20,43663
3/24/20,53736
3/25/20,65778
3/26/20,83836
3/27/20,101657
3/28/20,121465
3/29/20,140909
3/30/20,161831
3/31/20,188172
4/1/20,213242
4/2/20,243622
4/3/20,275367
4/4/20,308650
4/5/20,336802
4/6/20,366317
4/7/20,397121
4/8/20,428654
4/9/20,462780
4/10/20,496535
4/11/20,526396
4/12/20,555313
4/13/20,580619
4/14/20,607670
4/15/20,636350
4/16/20,667592
4/17/20,699706
4/18/20,727959
4/19/20,754376
4/20/20,779682
4/21/20,807023
4/22/20,835150
4/23/20,869170
4/24/20,905358
4/25/20,938154
4/26/20,965785
4/27/20,988197
4/28/20,1012582
4/29/20,1039909
4/30/20,1069424
5/1/20,1103461
5/2/20,1132539
5/3/20,1158040
5/4/20,1180375
5/5/20,1204351
5/6/20,1229331
5/7/20,1257023
5/8/20,1283929
5/9/20,1309550
5/10/20,1329260
5/11/20,1347881
5/12/20,1369574
5/13/20,1390406
5/14/20,1417774
5/15/20,1442824
5/16/20,1467820
5/17/20,1486757
